Name                                                                                                          Stmts   Miss  Cover
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/special.py                        181     89    51%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/trace.py                           81     59    27%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/transpose.py                       48     15    69%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/graph.py                                       46     40    13%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/immutable.py                                   91     14    85%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/inverse.py                                    142    125    12%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/matrices.py                                   960    592    38%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/reductions.py                                  99     90     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/repmatrix.py                                  271     89    67%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/solvers.py                                    231    212     8%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/sparse.py                                     162     68    58%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/sparsetools.py                                109    101     7%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/subspaces.py                                   35     30    14%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/utilities.py                                   32     12    62%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/multipledispatch/__init__.py                             4      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/multipledispatch/conflict.py                            31      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/multipledispatch/core.py                                20      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/multipledispatch/dispatcher.py                         184     90    51%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/multipledispatch/utils.py                               39      1    97%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/__init__.py                                     12      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/continued_fraction.py                          118    106    10%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/digits.py                                       28     22    21%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/ecm.py                                         118    104    12%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/egyptian_fraction.py                            87     76    13%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/factor_.py                                     907    589    35%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/generate.py                                    389    263    32%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/modular.py                                      74     62    16%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/multinomial.py                                  87     12    86%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/partitions_.py                                 112    103     8%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/primetest.py                                   262    175    33%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/qs.py                                          251    229     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/ntheory/residue_ntheory.py                             769    720     6%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/parsing/__init__.py                                      2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/parsing/sympy_parser.py                                572    399    30%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/__init__.py                                      3      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/matrices.py                                     44     35    20%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/secondquant.py                                1100    812    26%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/__init__.py                               37     21    43%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/definitions/__init__.py                    2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/definitions/dimension_definitions.py      29      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/definitions/unit_definitions.py          211      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/dimensions.py                            288    122    58%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/prefixes.py                              109     36    67%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/quantities.py                             80     15    81%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/systems/__init__.py                        5      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/systems/length_weight_time.py             41      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/systems/mks.py                            14      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/systems/mksa.py                           15      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/systems/natural.py                         8      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/systems/si.py                            140      2    99%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/unitsystem.py                            125     67    46%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/physics/units/util.py                                  127    107    16%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/__init__.py                                     7      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/experimental_lambdify.py                      237    195    18%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/intervalmath/__init__.py                        3      0   100%
